voltage,current
0.2246,0.00000015737
0.2482,0.00000028411
0.2763,0.0000005012
0.3,0.00000091536
0.3243,0.0000015961
0.3487,0.0000026882
0.3746,0.0000046874
0.3989,0.0000078036
0.4248,0.000012991
0.4492,0.000021133
0.4743,0.000034377
0.4994,0.00005592
0.5245,0.000087859
0.5495,0.00013965
0.5763,0.00021688
0.5998,0.00034075
0.625,0.00052921
0.6501,0.00078469
0.6745,0.0011908
0.6996,0.0016857
0.7262,0.0024143
0.7498,0.0032255
0.7749,0.0042107
0.8007,0.005371
0.8251,0.0069307
0.8509,0.0082473
0.876,0.01
0.9011,0.0117
0.9229,0.0134
0.9484,0.0156
0.9747,0.0175
0.9992,0.0199
1.0256,0.0222
1.0502,0.0247
1.0748,0.0271
1.0994,0.0299
1.1257,0.0327
1.1494,0.0356
1.1758,0.0384
1.1995,0.0412
1.2241,0.0442
1.2513,0.0473
1.2741,0.0504
1.2987,0.0535
1.3251,0.0564
1.3505,0.0597
1.3751,0.0629
1.4015,0.066
1.426,0.0693
1.4489,0.0725
1.4761,0.0759
1.4998,0.0793
