voltage,current
0.2479,-1.7644e-8
0.2746,-3.3752e-8
0.2989,-6.3823e-8
0.3248,-1.2209e-7
0.3477,-2.2821e-7
0.3721,-4.3655e-7
0.398,-8.3511e-7
0.4254,-1.561e-6
0.449,-2.8509e-6
0.4741,-5.1469e-6
0.4992,-9.2921e-6
0.5244,-1.5832e-5
0.5487,-2.7606e-5
0.576,-4.8138e-5
0.599,-7.8304e-5
0.6249,-1.2886e-4
0.6492,-2.1702e-4
0.6743,-3.6551e-4
0.6987,-6.0149e-4
0.7252,-9.3416e-4
0.7497,-1.4176e-3
0.7755,-2.102e-3
0.7999,-2.9076e-3
0.8242,-3.9756e-3
0.85,-5.2503e-3
0.876,-6.5438e-3
0.8995,-8.3469e-3
0.9245,-0.0103
0.9475,-0.0121338
0.9756,-0.0141577
0.9992,-0.0165177
1.0266,-0.0186256
1.0511,-0.0215749
1.074,-0.0239346
1.0986,-0.026884
1.1249,-0.0294969
1.1495,-0.0326145
1.1741,-0.035648
1.1996,-0.0389342
1.2251,-0.0420519
1.2505,-0.0453381
1.2751,-0.0487924
1.2989,-0.0519942
1.3234,-0.0554485
1.3516,-0.0589033
1.3753,-0.0626101
1.4245,-0.0697713
1.4499,-0.0733942
1.4763,-0.076933
1.5026,-0.0809768
